Bat,Rotor,Height,ResPolBat,ResPolRot,desC,operC,resC,c1,c2,c3,c_cum
0,0,10,0,0,0,209651647.78491262,67972.03886611972,1,1,0,1
0,0,20,0,0,0,-2450985.7056087684,67191.11993121385,1,1,0,1
0,0,30,0,0,0,-13040064.440047994,66346.36952797229,0,0,0,0
0,0,40,0,0,0,-12150200.820529787,33746.92765592899,0,0,0,0
0,0,50,0,0,0,-12868156.568123717,33464.68597659183,0,0,0,0
0,0,60,0,0,0,-14102052.16177801,30132.861897281186,0,0,0,0
0,0,70,0,0,0,-14038105.959186628,29940.772862263446,0,0,0,0
0,0,80,0,0,0,-12175295.774102265,23685.571015242058,0,0,0,0
0,0,90,0,0,0,-13722536.973362884,23541.262735705408,0,0,0,0
0,0,100,0,0,0,-13968585.799450526,23450.228539128973,0,0,0,0
0,0,110,0,0,0,-13915305.973271817,23379.145641584088,0,0,1,1
0,0,120,0,0,0,-13862815.10199388,23302.738372636464,0,0,1,1
0,1,10,0,0,1000,211201647.74491262,69868.14090107392,1,1,0,1
0,1,20,0,0,1000,205600790.8035739,69134.79221902344,1,1,0,1
0,1,30,0,0,1000,-2540064.4400479933,68301.47746209145,1,1,0,1
0,1,40,0,0,1000,-12150200.820529787,48925.732508399706,0,0,0,0
0,1,50,0,0,1000,-12868156.568123717,48528.826486350496,0,0,0,0
0,1,60,0,0,1000,-14102052.16177801,43731.53430238656,0,0,0,0
0,1,70,0,0,1000,-14038105.959186628,43524.812102824515,0,0,0,0
0,1,80,0,0,1000,-12175295.774102265,24687.08367651062,0,0,0,0
0,1,90,0,0,1000,-13722536.973362884,24536.083573958116,0,0,0,0
0,1,100,0,0,1000,-13968585.799450526,24437.021499000748,0,0,0,0
0,1,110,0,0,1000,-13915305.973271817,24359.977751444807,0,0,1,1
0,1,120,0,0,1000,-13862815.10199388,24280.68445674877,0,0,1,1
0,2,10,0,0,2000,212901647.71823916,72044.25615996023,1,1,0,1
0,2,20,0,0,2000,208700790.80024058,71283.56348076373,1,1,0,1
0,2,30,0,0,2000,205010797.85333574,70461.36325792506,1,1,0,1
0,2,40,0,0,2000,-1650200.8205297869,50383.76499760869,1,1,0,1
0,2,50,0,0,2000,-2368156.5681237173,50003.94341755096,1,1,0,1
0,2,60,0,0,2000,-4102052.1617780104,44989.536841906556,1,1,0,1
0,2,70,0,0,2000,-4038105.959186629,44773.68525232222,1,1,0,1
0,2,80,0,0,2000,-12175295.774102265,25665.070625814766,0,0,0,0
0,2,90,0,0,2000,-13722536.973362884,25517.062469416072,0,0,0,0
0,2,100,0,0,2000,-13968585.799450526,25415.85984116389,0,0,0,0
0,2,110,0,0,2000,-13915305.973271817,25334.99453675813,0,0,1,1
0,2,120,0,0,2000,-13862815.10199388,25252.777734706593,0,0,1,1
1,0,10,0,0,300,230001647.7715793,104943.27763879526,1,1,0,1
1,0,20,0,0,300,8049014.294391232,82901.0952339437,1,1,0,1
1,0,30,0,0,300,-13040064.440047994,46864.875093910065,0,0,0,0
1,0,40,0,0,300,-12150200.820529787,31068.729465605218,0,0,0,0
1,0,50,0,0,300,-12868156.568123717,30792.708476593114,0,0,0,0
1,0,60,0,0,300,-14102052.16177801,15043.387459371175,0,0,0,0
1,0,70,0,0,300,-14038105.959186628,14983.623420919379,0,0,0,0
1,0,80,0,0,300,-12175295.774102265,11988.125052271287,0,0,0,0
1,0,90,0,0,300,-13722536.973362884,11684.037671234233,0,0,0,0
1,0,100,0,0,300,-13968585.799450526,11609.802827388345,0,0,0,0
1,0,110,0,0,300,-13915305.973271817,11591.368738154431,0,0,1,1
1,0,120,0,0,300,-13862815.10199388,11570.783904904489,0,0,1,1
1,1,10,0,0,1300,232051647.73157904,107044.78299884079,1,1,0,1
1,1,20,0,0,1300,227047457.46868485,105507.86808412764,1,1,0,1
1,1,30,0,0,1300,7959935.559952007,83877.67307843239,1,1,0,1
1,1,40,0,0,1300,-12150200.820529787,35052.8855176066,0,0,0,0
1,1,50,0,0,1300,-12868156.568123717,34665.7300224778,0,0,0,0
1,1,60,0,0,1300,-14102052.16177801,29800.559864476545,0,0,0,0
1,1,70,0,0,1300,-14038105.959186628,29726.162661480455,0,0,0,0
1,1,80,0,0,1300,-12175295.774102265,13089.5821579843,0,0,0,0
1,1,90,0,0,1300,-13722536.973362884,12778.802953931376,0,0,0,0
1,1,100,0,0,1300,-13968585.799450526,12696.54023170457,0,0,0,0
1,1,110,0,0,1300,-13915305.973271817,12672.145292459585,0,0,1,1
1,1,120,0,0,1300,-13862815.10199388,12648.674433461243,0,0,1,1
1,2,10,0,0,2300,233251647.70474198,108975.43158562749,1,1,0,1
1,2,20,0,0,2300,229647457.46524245,107665.03934482623,1,1,0,1
1,2,30,0,0,2300,225830057.11224902,106245.50269278805,1,1,0,1
1,2,40,0,0,2300,8349799.179470213,61280.204839366175,1,1,0,1
1,2,50,0,0,2300,7631843.431876282,60904.0826377797,1,1,0,1
1,2,60,0,0,2300,5897947.83822199,33317.46240399655,1,1,0,1
1,2,70,0,0,2300,5961894.040813371,33233.93581097815,1,1,0,1
1,2,80,0,0,2300,-12175295.774102265,15730.457996177327,0,0,0,0
1,2,90,0,0,2300,-13722536.973362884,15422.670738278233,0,0,0,0
1,2,100,0,0,2300,-13968585.799450526,15338.267462756598,0,0,0,0
1,2,110,0,0,2300,-13915305.973271817,15310.050966661798,0,0,1,1
1,2,120,0,0,2300,-13862815.10199388,15283.656600307946,0,0,1,1
2,0,10,0,0,300,230001647.7715793,99906.69981547089,1,1,0,1
2,0,20,0,0,300,8049014.294391232,98854.41659512499,1,1,0,1
2,0,30,0,0,300,-13040064.440047994,97718.28564024522,0,0,0,0
2,0,40,0,0,300,-12150200.820529787,69971.94151624807,0,0,0,0
2,0,50,0,0,300,-12868156.568123717,69542.40106717762,0,0,0,0
2,0,60,0,0,300,-14102052.16177801,50363.19157201249,0,0,0,0
2,0,70,0,0,300,-14038105.959186628,50049.52050246415,0,0,0,0
2,0,80,0,0,300,-12175295.774102265,38650.11166373014,0,0,0,0
2,0,90,0,0,300,-13722536.973362884,38463.40963565717,0,0,0,0
2,0,100,0,0,300,-13968585.799450526,38323.42570640806,0,0,0,0
2,0,110,0,0,300,-13915305.973271817,38206.65589783959,0,0,1,1
2,0,120,0,0,300,-13862815.10199388,38081.28500037458,0,0,1,1
2,1,10,0,0,1300,232051647.73157904,105563.27185042507,1,1,0,1
2,1,20,0,0,1300,227047457.46868485,104549.8947496012,1,1,0,1
2,1,30,0,0,1300,7959935.559952007,103420.90320398165,1,1,0,1
2,1,40,0,0,1300,-12150200.820529787,73200.54201269388,0,0,0,0
2,1,50,0,0,1300,-12868156.568123717,72659.86705750675,0,0,0,0
2,1,60,0,0,1300,-14102052.16177801,65520.36397711786,0,0,0,0
2,1,70,0,0,1300,-14038105.959186628,65192.05974302523,0,0,0,0
2,1,80,0,0,1300,-12175295.774102265,41742.679880554264,0,0,0,0
2,1,90,0,0,1300,-13722536.973362884,41549.286029465424,0,0,0,0
2,1,100,0,0,1300,-13968585.799450526,41401.274221835396,0,0,0,0
2,1,110,0,0,1300,-13915305.973271817,41278.54356325586,0,0,1,1
2,1,120,0,0,1300,-13862815.10199388,41150.28664004244,0,0,1,1
2,2,10,0,0,2300,233251647.70474198,108791.56488708913,1,1,0,1
2,2,20,0,0,2300,229647457.46524245,107756.4437891193,1,1,0,1
2,2,30,0,0,2300,225830057.11224902,106640.08147388928,1,1,0,1
2,2,40,0,0,2300,8349799.179470213,75517.35227968065,1,1,0,1
2,2,50,0,0,2300,7631843.431876282,74993.76176648498,1,1,0,1
2,2,60,0,0,2300,5897947.83822199,67557.26651663784,1,1,0,1
2,2,70,0,0,2300,5961894.040813371,67219.83289252293,1,1,0,1
2,2,80,0,0,2300,-12175295.774102265,43325.777940969514,0,0,0,0
2,2,90,0,0,2300,-13722536.973362884,43135.3760360345,0,0,0,0
2,2,100,0,0,2300,-13968585.799450526,42985.22367510965,0,0,0,0
2,2,110,0,0,2300,-13915305.973271817,42858.67145968029,0,0,1,1
2,2,120,0,0,2300,-13862815.10199388,42727.49102911136,0,0,1,1
3,0,10,0,0,600,270001647.77157927,191752.66047641696,1,1,0,1
3,0,20,0,0,600,28549014.29439123,144292.22497892284,1,1,0,1
3,0,30,0,0,600,-13040064.440047994,59136.29380913307,0,0,0,0
3,0,40,0,0,600,-12150200.820529787,37413.46975688409,0,0,0,0
3,0,50,0,0,600,-12868156.568123717,37003.43036165447,0,0,0,0
3,0,60,0,0,600,-14102052.16177801,18181.742696192465,0,0,0,0
3,0,70,0,0,600,-14038105.959186628,18132.721619776028,0,0,0,0
3,0,80,0,0,600,-12175295.774102265,14654.386404455263,0,0,0,0
3,0,90,0,0,600,-13722536.973362884,14148.126173381483,0,0,0,0
3,0,100,0,0,600,-13968585.799450526,14041.740949593472,0,0,0,0
3,0,110,0,0,600,-13915305.973271817,14030.268757646914,0,0,1,1
3,0,120,0,0,600,-13862815.10199388,14016.542731577287,0,0,1,1
3,1,10,0,0,1600,271551647.731579,194004.43249494207,1,1,0,1
3,1,20,0,0,1600,266650790.8019072,191208.17921368204,1,1,0,1
