,Generations,CCEA Fitness Values,Best_Sol,time
0,0,1.556046984878403,"[[4.649085148697269, -0.2091216491128881, 0.12951998197374942], [1.712414310215415, 0.10804443974511335, 0.30129741219161066], [6.176704443684506, 0.09965001500643333, 0.20517723547051409], [18.124014178953097, -0.24625314961486358, 0.2738033044978217], [15.438878710409254, -0.16039274186927688, 0.3166005841838697], [6.981747802294866, -0.015462494350037603, 1], [12.15619547914354, -0.5, 0], [11.739771780434978, -0.5, 0.15090558163732096], [2.318845697532555, 0.4383098526811572, 1], [12.382425338295938, 0.19987416540338837, 0.7647197686768498]]",1.422206735610962
1,1,1.5698238562988478,"[[17.64129498735014, 0.052358503515350874, 0.08179621427335487], [1.712414310215415, 0.10804443974511335, 0.30129741219161066], [4.656248538261543, -0.047359972505510745, 0], [16.777712773361245, -0.24115458029887277, 0.28383489198770656], [15.438878710409254, -0.16039274186927688, 0.3166005841838697], [6.981747802294866, -0.015462494350037603, 1], [1.336891264898513, 0.43498873077028466, 0.18172771304137114], [6.223238989702786, 0.33617557834177636, 0.23122333198689585], [2.6458563902340315, -0.477952458203718, 0.7854484884503767], [8.399333556275785, -0.36514768365257366, 1]]",2.844413471221924
2,2,1.7010424097117962,"[[4.649085148697269, -0.2091216491128881, 0.12951998197374942], [20, -0.5, 0.0922719865780949], [9.714737262658684, 0.19088497062427534, 0.6107150047364682], [1.1360155399046938, -0.18806267666970838, 0.6933805743700582], [1, 0.06497128034156022, 0.32546972100913113], [2.658658835103969, -0.2688364637785839, 0.6335256215360612], [9.193892513459863, 0.09294378661597447, 0.5598873163432103], [4.004644501299827, 0.24106899204985957, 0.28866112310939107], [1.2426570491302624, -0.0005481099755796359, 1], [2.0826301728860823, -0.5, 1]]",4.266620206832886
3,3,1.7010424097117962,"[[4.649085148697269, -0.2091216491128881, 0.12951998197374942], [20, -0.5, 0.0922719865780949], [9.714737262658684, 0.19088497062427534, 0.6107150047364682], [1.1360155399046938, -0.18806267666970838, 0.6933805743700582], [1, 0.06497128034156022, 0.32546972100913113], [2.658658835103969, -0.2688364637785839, 0.6335256215360612], [9.193892513459863, 0.09294378661597447, 0.5598873163432103], [4.004644501299827, 0.24106899204985957, 0.28866112310939107], [1.2426570491302624, -0.0005481099755796359, 1], [2.0826301728860823, -0.5, 1]]",5.688826942443848
4,4,1.7010424097117962,"[[4.649085148697269, -0.2091216491128881, 0.12951998197374942], [20, -0.5, 0.0922719865780949], [9.714737262658684, 0.19088497062427534, 0.6107150047364682], [1.1360155399046938, -0.18806267666970838, 0.6933805743700582], [1, 0.06497128034156022, 0.32546972100913113], [2.658658835103969, -0.2688364637785839, 0.6335256215360612], [9.193892513459863, 0.09294378661597447, 0.5598873163432103], [4.004644501299827, 0.24106899204985957, 0.28866112310939107], [1.2426570491302624, -0.0005481099755796359, 1], [2.0826301728860823, -0.5, 1]]",7.11103367805481
5,5,1.8041856205561184,"[[4.649085148697269, -0.2091216491128881, 0.12951998197374942], [1.712414310215415, 0.10804443974511335, 0.30129741219161066], [10.93043921203512, -0.19407665996395385, 0.7564670493238427], [4.89986223258162, 0.44490456810071594, 0.45315308500696794], [15.438878710409254, 0.5, 0.8360006060591347], [5.875108108387046, -0.21228717287052595, 1], [6.071690209562004, -0.43272927449481324, 0.6577435111746877], [6.223238989702786, 0.33617557834177636, 0.23122333198689585], [6.569621771560594, -0.018368889769628298, 0.9961676045644303], [5.453425505341659, -0.25050818532278063, 0.08192455088028983]]",8.533240413665771
6,6,1.8041856205561184,"[[4.649085148697269, -0.2091216491128881, 0.12951998197374942], [1.712414310215415, 0.10804443974511335, 0.30129741219161066], [10.93043921203512, -0.19407665996395385, 0.7564670493238427], [4.89986223258162, 0.44490456810071594, 0.45315308500696794], [15.438878710409254, 0.5, 0.8360006060591347], [5.875108108387046, -0.21228717287052595, 1], [6.071690209562004, -0.43272927449481324, 0.6577435111746877], [6.223238989702786, 0.33617557834177636, 0.23122333198689585], [6.569621771560594, -0.018368889769628298, 0.9961676045644303], [5.453425505341659, -0.25050818532278063, 0.08192455088028983]]",9.955447149276733
7,7,1.8041856205561184,"[[4.649085148697269, -0.2091216491128881, 0.12951998197374942], [1.712414310215415, 0.10804443974511335, 0.30129741219161066], [10.93043921203512, -0.19407665996395385, 0.7564670493238427], [4.89986223258162, 0.44490456810071594, 0.45315308500696794], [15.438878710409254, 0.5, 0.8360006060591347], [5.875108108387046, -0.21228717287052595, 1], [6.071690209562004, -0.43272927449481324, 0.6577435111746877], [6.223238989702786, 0.33617557834177636, 0.23122333198689585], [6.569621771560594, -0.018368889769628298, 0.9961676045644303], [5.453425505341659, -0.25050818532278063, 0.08192455088028983]]",11.377653884887696
8,8,1.8041856205561184,"[[4.649085148697269, -0.2091216491128881, 0.12951998197374942], [1.712414310215415, 0.10804443974511335, 0.30129741219161066], [10.93043921203512, -0.19407665996395385, 0.7564670493238427], [4.89986223258162, 0.44490456810071594, 0.45315308500696794], [15.438878710409254, 0.5, 0.8360006060591347], [5.875108108387046, -0.21228717287052595, 1], [6.071690209562004, -0.43272927449481324, 0.6577435111746877], [6.223238989702786, 0.33617557834177636, 0.23122333198689585], [6.569621771560594, -0.018368889769628298, 0.9961676045644303], [5.453425505341659, -0.25050818532278063, 0.08192455088028983]]",12.799860620498658
9,9,1.8041856205561184,"[[4.649085148697269, -0.2091216491128881, 0.12951998197374942], [1.712414310215415, 0.10804443974511335, 0.30129741219161066], [10.93043921203512, -0.19407665996395385, 0.7564670493238427], [4.89986223258162, 0.44490456810071594, 0.45315308500696794], [15.438878710409254, 0.5, 0.8360006060591347], [5.875108108387046, -0.21228717287052595, 1], [6.071690209562004, -0.43272927449481324, 0.6577435111746877], [6.223238989702786, 0.33617557834177636, 0.23122333198689585], [6.569621771560594, -0.018368889769628298, 0.9961676045644303], [5.453425505341659, -0.25050818532278063, 0.08192455088028983]]",14.22206735610962
10,10,1.8511504599140705,"[[20, 0.11076202951185787, 0.37960192252030617], [10.100191128616459, -0.5, 0.06003803262323448], [6.321573372471631, -0.5, 0], [11.484175267831883, -0.19048149629575978, 0.27980628429265714], [3.8222591959573062, 0.40857038265314427, 0.4211782644663741], [4.440546105333551, 0.47249890654111953, 0.4907330692304922], [6.144571977484924, 0.2271685319701453, 0.3551164041448851], [1.6237562259766454, -0.42326602767174604, 0], [6.569621771560594, -0.018368889769628298, 0.9961676045644303], [8.11508870674663, -0.19886281065574452, 1]]",15.64427409172058
11,11,1.8511504599140705,"[[20, 0.11076202951185787, 0.37960192252030617], [10.100191128616459, -0.5, 0.06003803262323448], [6.321573372471631, -0.5, 0], [11.484175267831883, -0.19048149629575978, 0.27980628429265714], [3.8222591959573062, 0.40857038265314427, 0.4211782644663741], [4.440546105333551, 0.47249890654111953, 0.4907330692304922], [6.144571977484924, 0.2271685319701453, 0.3551164041448851], [1.6237562259766454, -0.42326602767174604, 0], [6.569621771560594, -0.018368889769628298, 0.9961676045644303], [8.11508870674663, -0.19886281065574452, 1]]",17.066480827331542
12,12,1.8511504599140705,"[[20, 0.11076202951185787, 0.37960192252030617], [10.100191128616459, -0.5, 0.06003803262323448], [6.321573372471631, -0.5, 0], [11.484175267831883, -0.19048149629575978, 0.27980628429265714], [3.8222591959573062, 0.40857038265314427, 0.4211782644663741], [4.440546105333551, 0.47249890654111953, 0.4907330692304922], [6.144571977484924, 0.2271685319701453, 0.3551164041448851], [1.6237562259766454, -0.42326602767174604, 0], [6.569621771560594, -0.018368889769628298, 0.9961676045644303], [8.11508870674663, -0.19886281065574452, 1]]",18.488687562942506
13,13,1.8511504599140705,"[[20, 0.11076202951185787, 0.37960192252030617], [10.100191128616459, -0.5, 0.06003803262323448], [6.321573372471631, -0.5, 0], [11.484175267831883, -0.19048149629575978, 0.27980628429265714], [3.8222591959573062, 0.40857038265314427, 0.4211782644663741], [4.440546105333551, 0.47249890654111953, 0.4907330692304922], [6.144571977484924, 0.2271685319701453, 0.3551164041448851], [1.6237562259766454, -0.42326602767174604, 0], [6.569621771560594, -0.018368889769628298, 0.9961676045644303], [8.11508870674663, -0.19886281065574452, 1]]",19.910894298553465
