,Generations,EA Fitness Values,EA Health States,time
0,0,0.6892271912142004,"[[14.224451183944744, 0.19423512635661017, 0.7063816058930227], [12.385588129329538, 0.229319764744987, 0.25695304793670193], [15.89778344607554, 0.21463559938391352, 0.8899114819304439], [12.890898741720953, 0.5, 0.25864189249398484], [10.291510277379619, -0.03697445141683277, 0.888703379515879], [13.089282208218037, 0.3827313789731948, 0.8346951451657671], [1, -0.20061470960349453, 0.582032203461687], [7.826243729822723, 0.025573176908367523, 0.4870625758497123], [19.524810633029297, 0.5, 0.4023572563591172], [13.59215293776383, 0.1290839595080921, 0.26039741854387766]]",2.0064470195770263
1,1,0.6892271912142004,"[[14.224451183944744, 0.19423512635661017, 0.7063816058930227], [12.385588129329538, 0.229319764744987, 0.25695304793670193], [15.89778344607554, 0.21463559938391352, 0.8899114819304439], [12.890898741720953, 0.5, 0.25864189249398484], [10.291510277379619, -0.03697445141683277, 0.888703379515879], [13.089282208218037, 0.3827313789731948, 0.8346951451657671], [1, -0.20061470960349453, 0.582032203461687], [7.826243729822723, 0.025573176908367523, 0.4870625758497123], [19.524810633029297, 0.5, 0.4023572563591172], [13.59215293776383, 0.1290839595080921, 0.26039741854387766]]",4.012894039154053
2,2,0.6892271912142004,"[[14.224451183944744, 0.19423512635661017, 0.7063816058930227], [12.385588129329538, 0.229319764744987, 0.25695304793670193], [15.89778344607554, 0.21463559938391352, 0.8899114819304439], [12.890898741720953, 0.5, 0.25864189249398484], [10.291510277379619, -0.03697445141683277, 0.888703379515879], [13.089282208218037, 0.3827313789731948, 0.8346951451657671], [1, -0.20061470960349453, 0.582032203461687], [7.826243729822723, 0.025573176908367523, 0.4870625758497123], [19.524810633029297, 0.5, 0.4023572563591172], [13.59215293776383, 0.1290839595080921, 0.26039741854387766]]",6.019341058731079
3,3,0.6892271912142004,"[[14.224451183944744, 0.19423512635661017, 0.7063816058930227], [12.385588129329538, 0.229319764744987, 0.25695304793670193], [15.89778344607554, 0.21463559938391352, 0.8899114819304439], [12.890898741720953, 0.5, 0.25864189249398484], [10.291510277379619, -0.03697445141683277, 0.888703379515879], [13.089282208218037, 0.3827313789731948, 0.8346951451657671], [1, -0.20061470960349453, 0.582032203461687], [7.826243729822723, 0.025573176908367523, 0.4870625758497123], [19.524810633029297, 0.5, 0.4023572563591172], [13.59215293776383, 0.1290839595080921, 0.26039741854387766]]",8.025788078308105
4,4,0.7319965954983791,"[[1, -0.5, 1], [1.931596771286047, -0.32634981850847555, 0], [4.701111385796785, 0.5, 1], [1, 0.5, 0.5968508289880061], [20, -0.5, 1], [9.046197315376112, -0.18201124612242875, 0], [5.865057488718364, 0.5, 0.6009452198867085], [13.978165925941726, 0.36592822211043374, 0.8231881582501431], [6.532896345615761, -0.5, 1], [6.532896345615761, -0.5, 1]]",10.032235097885131
5,5,0.7319965954983791,"[[1, -0.5, 1], [1.931596771286047, -0.32634981850847555, 0], [4.701111385796785, 0.5, 1], [1, 0.5, 0.5968508289880061], [20, -0.5, 1], [9.046197315376112, -0.18201124612242875, 0], [5.865057488718364, 0.5, 0.6009452198867085], [13.978165925941726, 0.36592822211043374, 0.8231881582501431], [6.532896345615761, -0.5, 1], [6.532896345615761, -0.5, 1]]",12.038682117462159
6,6,0.7319965954983791,"[[1, -0.5, 1], [1.931596771286047, -0.32634981850847555, 0], [4.701111385796785, 0.5, 1], [1, 0.5, 0.5968508289880061], [20, -0.5, 1], [9.046197315376112, -0.18201124612242875, 0], [5.865057488718364, 0.5, 0.6009452198867085], [13.978165925941726, 0.36592822211043374, 0.8231881582501431], [6.532896345615761, -0.5, 1], [6.532896345615761, -0.5, 1]]",14.045129137039185
7,7,0.8113626122097184,"[[1, -0.20657317992051166, 0.539919806108698], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.046293016828977435], [1, 0.1733066383098903, 1], [20, -0.5, 0.4497505937484639], [6.120038786462313, -0.5, 0.8436521648757216]]",16.05157615661621
8,8,0.8113626122097184,"[[1, -0.20657317992051166, 0.539919806108698], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.046293016828977435], [1, 0.1733066383098903, 1], [20, -0.5, 0.4497505937484639], [6.120038786462313, -0.5, 0.8436521648757216]]",18.058023176193238
9,9,0.8113626122097184,"[[1, -0.20657317992051166, 0.539919806108698], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.046293016828977435], [1, 0.1733066383098903, 1], [20, -0.5, 0.4497505937484639], [6.120038786462313, -0.5, 0.8436521648757216]]",20.064470195770262
10,10,0.8113626122097184,"[[1, -0.20657317992051166, 0.539919806108698], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.046293016828977435], [1, 0.1733066383098903, 1], [20, -0.5, 0.4497505937484639], [6.120038786462313, -0.5, 0.8436521648757216]]",22.07091721534729
11,11,0.8113626122097184,"[[1, -0.20657317992051166, 0.539919806108698], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.046293016828977435], [1, 0.1733066383098903, 1], [20, -0.5, 0.4497505937484639], [6.120038786462313, -0.5, 0.8436521648757216]]",24.077364234924318
12,12,0.8113626122097184,"[[1, -0.20657317992051166, 0.539919806108698], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.046293016828977435], [1, 0.1733066383098903, 1], [20, -0.5, 0.4497505937484639], [6.120038786462313, -0.5, 0.8436521648757216]]",26.08381125450134
13,13,0.8113626122097184,"[[1, -0.20657317992051166, 0.539919806108698], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.39952014800141106], [1, 0.1733066383098903, 0.046293016828977435], [1, 0.1733066383098903, 1], [20, -0.5, 0.4497505937484639], [6.120038786462313, -0.5, 0.8436521648757216]]",28.09025827407837
14,14,0.8497774154899493,"[[1, -0.372398342227407, 0.5794640436736627], [1, -0.26250776581856783, 1], [1, -0.26250776581856783, 1], [1, -0.26250776581856783, 1], [1, -0.26250776581856783, 1], [1, -0.26250776581856783, 1], [2.2284941128751106, 0.342437235297405, 0.02541024219298508], [12.132088413646873, 0.06400979499283818, 0.8525310764953171], [20, -0.3852775848009701, 0.39535899431224236], [4.784386364208828, -0.27965041892099524, 0.171039747144348]]",30.096705293655397
