,Generations,Random Fitness Values,Random Health States,time
0,0,0.6234896621616569,"[[17.89419522912056, -0.04040552455885482, 0.4605897954006043], [18.446145160018954, -0.19502512493952684, 0.8288741755892697], [6.744210269996034, -0.47200867073068986, 0.6068004118295248], [16.790992120868303, 0.4079181986152224, 0.6407267899174983], [17.56870608659486, -0.133490074961652, 0.10148716681152237], [2.906493039281528, -0.34642680042893337, 0.34305234498987525], [18.998973763884223, 0.39491179809586563, 0.4515898279873408], [11.608194210929524, -0.13747196499605252, 0.1919357065659687], [18.434349171416745, -0.04187594614806733, 0.31317550179973197], [19.864805982260812, 0.3706790175618184, 0.02417283233258205]]",1.9659795379638672
1,1,0.6924383326484396,"[[1.3828556889528352, -0.4154041690355449, 0.33524964208761565], [19.591456751792066, 0.14663281663369254, 0.6102504337606692], [12.252281586462253, -0.4870198090814126, 0.34822552295325704], [9.836400381457377, 0.05660821463312249, 0.3449491862965576], [5.386726732985512, 0.01058112020296631, 0.05664473702353756], [2.1306763376740534, 0.48835131156264444, 0.4929244764842654], [7.795974648371163, 0.20662326972399536, 0.24226352659636796], [4.077385436641104, -0.4856920615085344, 0.7493158185499866], [5.197375184205324, -0.3224754221748397, 0.6915805655380537], [2.5598611299386986, 0.10316991715989643, 0.1080346329399039]]",3.9319590759277343
2,2,0.6924383326484396,"[[1.3828556889528352, -0.4154041690355449, 0.33524964208761565], [19.591456751792066, 0.14663281663369254, 0.6102504337606692], [12.252281586462253, -0.4870198090814126, 0.34822552295325704], [9.836400381457377, 0.05660821463312249, 0.3449491862965576], [5.386726732985512, 0.01058112020296631, 0.05664473702353756], [2.1306763376740534, 0.48835131156264444, 0.4929244764842654], [7.795974648371163, 0.20662326972399536, 0.24226352659636796], [4.077385436641104, -0.4856920615085344, 0.7493158185499866], [5.197375184205324, -0.3224754221748397, 0.6915805655380537], [2.5598611299386986, 0.10316991715989643, 0.1080346329399039]]",5.8979386138916015
3,3,0.6924383326484396,"[[1.3828556889528352, -0.4154041690355449, 0.33524964208761565], [19.591456751792066, 0.14663281663369254, 0.6102504337606692], [12.252281586462253, -0.4870198090814126, 0.34822552295325704], [9.836400381457377, 0.05660821463312249, 0.3449491862965576], [5.386726732985512, 0.01058112020296631, 0.05664473702353756], [2.1306763376740534, 0.48835131156264444, 0.4929244764842654], [7.795974648371163, 0.20662326972399536, 0.24226352659636796], [4.077385436641104, -0.4856920615085344, 0.7493158185499866], [5.197375184205324, -0.3224754221748397, 0.6915805655380537], [2.5598611299386986, 0.10316991715989643, 0.1080346329399039]]",7.863918151855469
4,4,0.6924383326484396,"[[1.3828556889528352, -0.4154041690355449, 0.33524964208761565], [19.591456751792066, 0.14663281663369254, 0.6102504337606692], [12.252281586462253, -0.4870198090814126, 0.34822552295325704], [9.836400381457377, 0.05660821463312249, 0.3449491862965576], [5.386726732985512, 0.01058112020296631, 0.05664473702353756], [2.1306763376740534, 0.48835131156264444, 0.4929244764842654], [7.795974648371163, 0.20662326972399536, 0.24226352659636796], [4.077385436641104, -0.4856920615085344, 0.7493158185499866], [5.197375184205324, -0.3224754221748397, 0.6915805655380537], [2.5598611299386986, 0.10316991715989643, 0.1080346329399039]]",9.829897689819337
5,5,0.6924383326484396,"[[1.3828556889528352, -0.4154041690355449, 0.33524964208761565], [19.591456751792066, 0.14663281663369254, 0.6102504337606692], [12.252281586462253, -0.4870198090814126, 0.34822552295325704], [9.836400381457377, 0.05660821463312249, 0.3449491862965576], [5.386726732985512, 0.01058112020296631, 0.05664473702353756], [2.1306763376740534, 0.48835131156264444, 0.4929244764842654], [7.795974648371163, 0.20662326972399536, 0.24226352659636796], [4.077385436641104, -0.4856920615085344, 0.7493158185499866], [5.197375184205324, -0.3224754221748397, 0.6915805655380537], [2.5598611299386986, 0.10316991715989643, 0.1080346329399039]]",11.795877227783203
6,6,0.6924383326484396,"[[1.3828556889528352, -0.4154041690355449, 0.33524964208761565], [19.591456751792066, 0.14663281663369254, 0.6102504337606692], [12.252281586462253, -0.4870198090814126, 0.34822552295325704], [9.836400381457377, 0.05660821463312249, 0.3449491862965576], [5.386726732985512, 0.01058112020296631, 0.05664473702353756], [2.1306763376740534, 0.48835131156264444, 0.4929244764842654], [7.795974648371163, 0.20662326972399536, 0.24226352659636796], [4.077385436641104, -0.4856920615085344, 0.7493158185499866], [5.197375184205324, -0.3224754221748397, 0.6915805655380537], [2.5598611299386986, 0.10316991715989643, 0.1080346329399039]]",13.761856765747071
7,7,0.6924383326484396,"[[1.3828556889528352, -0.4154041690355449, 0.33524964208761565], [19.591456751792066, 0.14663281663369254, 0.6102504337606692], [12.252281586462253, -0.4870198090814126, 0.34822552295325704], [9.836400381457377, 0.05660821463312249, 0.3449491862965576], [5.386726732985512, 0.01058112020296631, 0.05664473702353756], [2.1306763376740534, 0.48835131156264444, 0.4929244764842654], [7.795974648371163, 0.20662326972399536, 0.24226352659636796], [4.077385436641104, -0.4856920615085344, 0.7493158185499866], [5.197375184205324, -0.3224754221748397, 0.6915805655380537], [2.5598611299386986, 0.10316991715989643, 0.1080346329399039]]",15.727836303710937
8,8,0.6924383326484396,"[[1.3828556889528352, -0.4154041690355449, 0.33524964208761565], [19.591456751792066, 0.14663281663369254, 0.6102504337606692], [12.252281586462253, -0.4870198090814126, 0.34822552295325704], [9.836400381457377, 0.05660821463312249, 0.3449491862965576], [5.386726732985512, 0.01058112020296631, 0.05664473702353756], [2.1306763376740534, 0.48835131156264444, 0.4929244764842654], [7.795974648371163, 0.20662326972399536, 0.24226352659636796], [4.077385436641104, -0.4856920615085344, 0.7493158185499866], [5.197375184205324, -0.3224754221748397, 0.6915805655380537], [2.5598611299386986, 0.10316991715989643, 0.1080346329399039]]",17.693815841674805
9,9,0.6924383326484396,"[[1.3828556889528352, -0.4154041690355449, 0.33524964208761565], [19.591456751792066, 0.14663281663369254, 0.6102504337606692], [12.252281586462253, -0.4870198090814126, 0.34822552295325704], [9.836400381457377, 0.05660821463312249, 0.3449491862965576], [5.386726732985512, 0.01058112020296631, 0.05664473702353756], [2.1306763376740534, 0.48835131156264444, 0.4929244764842654], [7.795974648371163, 0.20662326972399536, 0.24226352659636796], [4.077385436641104, -0.4856920615085344, 0.7493158185499866], [5.197375184205324, -0.3224754221748397, 0.6915805655380537], [2.5598611299386986, 0.10316991715989643, 0.1080346329399039]]",19.659795379638673
10,10,0.6924383326484396,"[[1.3828556889528352, -0.4154041690355449, 0.33524964208761565], [19.591456751792066, 0.14663281663369254, 0.6102504337606692], [12.252281586462253, -0.4870198090814126, 0.34822552295325704], [9.836400381457377, 0.05660821463312249, 0.3449491862965576], [5.386726732985512, 0.01058112020296631, 0.05664473702353756], [2.1306763376740534, 0.48835131156264444, 0.4929244764842654], [7.795974648371163, 0.20662326972399536, 0.24226352659636796], [4.077385436641104, -0.4856920615085344, 0.7493158185499866], [5.197375184205324, -0.3224754221748397, 0.6915805655380537], [2.5598611299386986, 0.10316991715989643, 0.1080346329399039]]",21.625774917602538
11,11,0.6924383326484396,"[[1.3828556889528352, -0.4154041690355449, 0.33524964208761565], [19.591456751792066, 0.14663281663369254, 0.6102504337606692], [12.252281586462253, -0.4870198090814126, 0.34822552295325704], [9.836400381457377, 0.05660821463312249, 0.3449491862965576], [5.386726732985512, 0.01058112020296631, 0.05664473702353756], [2.1306763376740534, 0.48835131156264444, 0.4929244764842654], [7.795974648371163, 0.20662326972399536, 0.24226352659636796], [4.077385436641104, -0.4856920615085344, 0.7493158185499866], [5.197375184205324, -0.3224754221748397, 0.6915805655380537], [2.5598611299386986, 0.10316991715989643, 0.1080346329399039]]",23.591754455566406
12,12,0.6924383326484396,"[[1.3828556889528352, -0.4154041690355449, 0.33524964208761565], [19.591456751792066, 0.14663281663369254, 0.6102504337606692], [12.252281586462253, -0.4870198090814126, 0.34822552295325704], [9.836400381457377, 0.05660821463312249, 0.3449491862965576], [5.386726732985512, 0.01058112020296631, 0.05664473702353756], [2.1306763376740534, 0.48835131156264444, 0.4929244764842654], [7.795974648371163, 0.20662326972399536, 0.24226352659636796], [4.077385436641104, -0.4856920615085344, 0.7493158185499866], [5.197375184205324, -0.3224754221748397, 0.6915805655380537], [2.5598611299386986, 0.10316991715989643, 0.1080346329399039]]",25.557733993530274
13,13,0.6924383326484396,"[[1.3828556889528352, -0.4154041690355449, 0.33524964208761565], [19.591456751792066, 0.14663281663369254, 0.6102504337606692], [12.252281586462253, -0.4870198090814126, 0.34822552295325704], [9.836400381457377, 0.05660821463312249, 0.3449491862965576], [5.386726732985512, 0.01058112020296631, 0.05664473702353756], [2.1306763376740534, 0.48835131156264444, 0.4929244764842654], [7.795974648371163, 0.20662326972399536, 0.24226352659636796], [4.077385436641104, -0.4856920615085344, 0.7493158185499866], [5.197375184205324, -0.3224754221748397, 0.6915805655380537], [2.5598611299386986, 0.10316991715989643, 0.1080346329399039]]",27.523713531494142
14,14,0.7262059505912144,"[[6.118163161038576, 0.08034168036065426, 0.21307444282430532], [6.132881868097171, 0.49521033315262686, 0.9422456522532318], [2.418048956119132, 0.01057796586902604, 0.5877239881421272], [1.0449040249419008, -0.10907537117040111, 0.43835487995044653], [4.116272894327954, -0.3756582548598698, 0.20366243316293586], [7.13926561963741, -0.2456371259833009, 0.27377081931277003], [18.741494896691734, -0.013554346963161268, 0.7403077954346645], [3.5555232242970547, -0.15993570956838954, 0.9626953427314461], [6.511709830846077, 0.23807680231995043, 0.4017196206335638], [7.4597717496914955, 0.4160126857374793, 0.5478335609417043]]",29.489693069458006
