,Generations,CCEA Fitness Values,Best_Sol,time
0,0,0.2889776007393129,"[[18.742479273560704, 0.6871844651099092, 0.18264531670877815], [7.996665162944209, 0.054347962799007554, -0.24366529920741403], [5.568125207732727, 1, -0.49937974800027285], [13.900699652534135, 0.45273203620184677, 0.47382851190119946], [5.140339468393959, 0.6167891225936317, -0.12893996889335313], [7.738855193950604, 0.03545017718383914, 0.18639548300222564], [19.72534994876228, 0.4050986359120875, -0.4767159669997302], [8.116432755477502, 0.5822986802929981, 0.2151382847628017], [1.3144783218408418, 0.6916403890463834, 0.21626332842054652], [0, 0.21044336847555722, -0.0998545567623956]]",1.3894124245643615
1,1,0.29073795720054785,"[[8.807224630077508, 0.7448275354683171, 0.1214299144541151], [3.5196051098898398, 0.667041477595469, 0.5], [6.389290449167029, 0.9887992306660615, 0.5], [0.9061150402056282, 0.2457391676761129, -0.434614300305712], [16.76048813678347, 0.12734252520816464, -0.5], [7.738855193950604, 0.03545017718383914, 0.18639548300222564], [20, 1, 0.5], [16.53565109519208, 0.5507704210834911, -0.5], [9.934521695909542, 0.7776926945565461, -0.4972495612602451], [15.09271345538612, 0.3122517382811971, 0.20994819251646016]]",2.778824849128723
2,2,0.29968979766100245,"[[0, 0.09635552459010323, -0.472346904299031], [20, 0.8487557948615794, 0.5], [20, 1, -0.5], [8.55960557792774, 0.5369486581373464, 0.5], [6.971157224204919, 0.7017482065554606, -0.3680032800550853], [3.6494649260933687, 0, 0.3001135239071867], [20, 0.519378819493854, 0.47781267087406704], [8.644423642133885, 0.7272781627192147, 0.2011578469448354], [1.3144783218408418, 0.5754466597139721, 0.3931271449715269], [14.752250603311508, 0.08502893913896081, -0.5]]",4.168237273693085
3,3,0.31590151758487695,"[[0, 0.8783882319908196, -0.5], [2.149078657146679, 0.46193961446078263, -0.3346392109614968], [20, 1, -0.5], [0, 0.5496886174392939, 0.3892062466480767], [6.886869269516871, 0.17044753228711662, -0.18890874529923074], [0, 0.8901671655624663, -0.06348187296395869], [0, 0, 0.5], [10.893818463223013, 0.7620298013884395, 0.49086826149810703], [4.232207559450952, 0.5264563158515894, 0.13261968951941994], [20, 0, 0.5]]",5.557649698257446
4,4,0.31590151758487695,"[[0, 0.8783882319908196, -0.5], [2.149078657146679, 0.46193961446078263, -0.3346392109614968], [20, 1, -0.5], [0, 0.5496886174392939, 0.3892062466480767], [6.886869269516871, 0.17044753228711662, -0.18890874529923074], [0, 0.8901671655624663, -0.06348187296395869], [0, 0, 0.5], [10.893818463223013, 0.7620298013884395, 0.49086826149810703], [4.232207559450952, 0.5264563158515894, 0.13261968951941994], [20, 0, 0.5]]",6.947062122821808
5,5,0.3174676229243377,"[[19.842714788570266, 0.9464843833819852, 0.1722218098708073], [0, 0, -0.5], [6.5694620704489095, 0.20743340639101032, -0.263427023732708], [4.437482921817776, 0.9581539699575874, 0.4995927092297214], [0, 0.7818609927520694, -0.014577748822376113], [6.658103506871271, 0.5465374106497756, -0.5], [19.605620940782025, 0, 0.5], [16.830575883233124, 0, -0.22705251330974074], [0, 1, -0.5], [16.25158161463764, 0.590393515012774, -0.5]]",8.33647454738617
6,6,0.3174676229243377,"[[19.842714788570266, 0.9464843833819852, 0.1722218098708073], [0, 0, -0.5], [6.5694620704489095, 0.20743340639101032, -0.263427023732708], [4.437482921817776, 0.9581539699575874, 0.4995927092297214], [0, 0.7818609927520694, -0.014577748822376113], [6.658103506871271, 0.5465374106497756, -0.5], [19.605620940782025, 0, 0.5], [16.830575883233124, 0, -0.22705251330974074], [0, 1, -0.5], [16.25158161463764, 0.590393515012774, -0.5]]",9.725886971950532
7,7,0.3174676229243377,"[[19.842714788570266, 0.9464843833819852, 0.1722218098708073], [0, 0, -0.5], [6.5694620704489095, 0.20743340639101032, -0.263427023732708], [4.437482921817776, 0.9581539699575874, 0.4995927092297214], [0, 0.7818609927520694, -0.014577748822376113], [6.658103506871271, 0.5465374106497756, -0.5], [19.605620940782025, 0, 0.5], [16.830575883233124, 0, -0.22705251330974074], [0, 1, -0.5], [16.25158161463764, 0.590393515012774, -0.5]]",11.115299396514892
8,8,0.3174676229243377,"[[19.842714788570266, 0.9464843833819852, 0.1722218098708073], [0, 0, -0.5], [6.5694620704489095, 0.20743340639101032, -0.263427023732708], [4.437482921817776, 0.9581539699575874, 0.4995927092297214], [0, 0.7818609927520694, -0.014577748822376113], [6.658103506871271, 0.5465374106497756, -0.5], [19.605620940782025, 0, 0.5], [16.830575883233124, 0, -0.22705251330974074], [0, 1, -0.5], [16.25158161463764, 0.590393515012774, -0.5]]",12.504711821079255
9,9,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",13.894124245643615
10,10,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",15.283536670207978
11,11,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",16.67294909477234
12,12,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",18.0623615193367
13,13,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",19.451773943901063
14,14,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",20.841186368465422
15,15,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",22.230598793029785
16,16,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",23.620011217594147
17,17,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",25.00942364215851
18,18,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",26.39883606672287
19,19,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",27.78824849128723
20,20,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",29.177660915851593
21,21,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",30.567073340415956
22,22,0.34267424449170897,"[[0, 0.9330610868826035, -0.3156647200314421], [0, 0.46336696912695935, -0.01594530354636997], [3.00181530755738, 0.21001328230653027, -0.5], [0, 1, 0.5], [20, 0.47418904554728675, -0.5], [20, 1, 0.4815925649384073], [19.123299624768464, 0, 0.4146516202166485], [20, 1, -0.43248380173973616], [9.311509969184929, 0.6468649132048045, -0.5], [10.472519031140871, 0, -0.14566593240238165]]",31.956485764980314
23,23,0.3590578829335474,"[[9.5033388498912, 0.9529105781636, 0.3808611903428082], [18.42364824317105, 0, 0.3763780638288008], [13.420558494840025, 0.2583850213087139, -0.023868155332999186], [2.2523616603528778, 0.03634173367842497, 0.5], [0, 0.08832067127439303, -0.5], [20, 1, 0.5], [20, 0.5979110757011505, 0.3097793122830411], [17.10895209515712, 0.7912434094851867, -0.44808020514340174], [0, 1, -0.5], [20, 0, -0.5]]",33.34589818954468
24,24,0.3590578829335474,"[[9.5033388498912, 0.9529105781636, 0.3808611903428082], [18.42364824317105, 0, 0.3763780638288008], [13.420558494840025, 0.2583850213087139, -0.023868155332999186], [2.2523616603528778, 0.03634173367842497, 0.5], [0, 0.08832067127439303, -0.5], [20, 1, 0.5], [20, 0.5979110757011505, 0.3097793122830411], [17.10895209515712, 0.7912434094851867, -0.44808020514340174], [0, 1, -0.5], [20, 0, -0.5]]",34.73531061410904
25,25,0.3590578829335474,"[[9.5033388498912, 0.9529105781636, 0.3808611903428082], [18.42364824317105, 0, 0.3763780638288008], [13.420558494840025, 0.2583850213087139, -0.023868155332999186], [2.2523616603528778, 0.03634173367842497, 0.5], [0, 0.08832067127439303, -0.5], [20, 1, 0.5], [20, 0.5979110757011505, 0.3097793122830411], [17.10895209515712, 0.7912434094851867, -0.44808020514340174], [0, 1, -0.5], [20, 0, -0.5]]",36.1247230386734
26,26,0.3590578829335474,"[[9.5033388498912, 0.9529105781636, 0.3808611903428082], [18.42364824317105, 0, 0.3763780638288008], [13.420558494840025, 0.2583850213087139, -0.023868155332999186], [2.2523616603528778, 0.03634173367842497, 0.5], [0, 0.08832067127439303, -0.5], [20, 1, 0.5], [20, 0.5979110757011505, 0.3097793122830411], [17.10895209515712, 0.7912434094851867, -0.44808020514340174], [0, 1, -0.5], [20, 0, -0.5]]",37.514135463237764
27,27,0.3590578829335474,"[[9.5033388498912, 0.9529105781636, 0.3808611903428082], [18.42364824317105, 0, 0.3763780638288008], [13.420558494840025, 0.2583850213087139, -0.023868155332999186], [2.2523616603528778, 0.03634173367842497, 0.5], [0, 0.08832067127439303, -0.5], [20, 1, 0.5], [20, 0.5979110757011505, 0.3097793122830411], [17.10895209515712, 0.7912434094851867, -0.44808020514340174], [0, 1, -0.5], [20, 0, -0.5]]",38.90354788780213
28,28,0.3590578829335474,"[[9.5033388498912, 0.9529105781636, 0.3808611903428082], [18.42364824317105, 0, 0.3763780638288008], [13.420558494840025, 0.2583850213087139, -0.023868155332999186], [2.2523616603528778, 0.03634173367842497, 0.5], [0, 0.08832067127439303, -0.5], [20, 1, 0.5], [20, 0.5979110757011505, 0.3097793122830411], [17.10895209515712, 0.7912434094851867, -0.44808020514340174], [0, 1, -0.5], [20, 0, -0.5]]",40.29296031236649
29,29,0.3590578829335474,"[[9.5033388498912, 0.9529105781636, 0.3808611903428082], [18.42364824317105, 0, 0.3763780638288008], [13.420558494840025, 0.2583850213087139, -0.023868155332999186], [2.2523616603528778, 0.03634173367842497, 0.5], [0, 0.08832067127439303, -0.5], [20, 1, 0.5], [20, 0.5979110757011505, 0.3097793122830411], [17.10895209515712, 0.7912434094851867, -0.44808020514340174], [0, 1, -0.5], [20, 0, -0.5]]",41.682372736930844
