,Generations,Random Fitness Values,Random Health States,time
0,0,0.6855135536321397,"[[17.26357495959899, -0.4213193123451916, 0.5583855238120513], [15.158499914967848, 0.21094868325170113, 0.41322569403939846], [2.352188469759477, -0.0905497402721025, 0.10960435973660376], [19.950249390366043, 0.058319240336383804, 0.4030027932971392], [3.3133678771831248, 0.16699776382318932, 0.9348378584329871], [8.512957950930259, -0.2532070343740128, 0.25231035161496307], [11.613847061411624, 0.19723277048500898, 0.3314282672043626], [18.536334689209024, -0.09353831190731521, 0.3037358774369817], [1.3741679568053404, -0.4696797487511679, 0.4691696608270207], [5.747858112315226, -0.45684385567813335, 0.19011750670578054]]",1.1754025983810426
1,1,0.6855135536321397,"[[17.26357495959899, -0.4213193123451916, 0.5583855238120513], [15.158499914967848, 0.21094868325170113, 0.41322569403939846], [2.352188469759477, -0.0905497402721025, 0.10960435973660376], [19.950249390366043, 0.058319240336383804, 0.4030027932971392], [3.3133678771831248, 0.16699776382318932, 0.9348378584329871], [8.512957950930259, -0.2532070343740128, 0.25231035161496307], [11.613847061411624, 0.19723277048500898, 0.3314282672043626], [18.536334689209024, -0.09353831190731521, 0.3037358774369817], [1.3741679568053404, -0.4696797487511679, 0.4691696608270207], [5.747858112315226, -0.45684385567813335, 0.19011750670578054]]",2.350805196762085
2,2,0.6855135536321397,"[[17.26357495959899, -0.4213193123451916, 0.5583855238120513], [15.158499914967848, 0.21094868325170113, 0.41322569403939846], [2.352188469759477, -0.0905497402721025, 0.10960435973660376], [19.950249390366043, 0.058319240336383804, 0.4030027932971392], [3.3133678771831248, 0.16699776382318932, 0.9348378584329871], [8.512957950930259, -0.2532070343740128, 0.25231035161496307], [11.613847061411624, 0.19723277048500898, 0.3314282672043626], [18.536334689209024, -0.09353831190731521, 0.3037358774369817], [1.3741679568053404, -0.4696797487511679, 0.4691696608270207], [5.747858112315226, -0.45684385567813335, 0.19011750670578054]]",3.5262077951431277
3,3,0.6855135536321397,"[[17.26357495959899, -0.4213193123451916, 0.5583855238120513], [15.158499914967848, 0.21094868325170113, 0.41322569403939846], [2.352188469759477, -0.0905497402721025, 0.10960435973660376], [19.950249390366043, 0.058319240336383804, 0.4030027932971392], [3.3133678771831248, 0.16699776382318932, 0.9348378584329871], [8.512957950930259, -0.2532070343740128, 0.25231035161496307], [11.613847061411624, 0.19723277048500898, 0.3314282672043626], [18.536334689209024, -0.09353831190731521, 0.3037358774369817], [1.3741679568053404, -0.4696797487511679, 0.4691696608270207], [5.747858112315226, -0.45684385567813335, 0.19011750670578054]]",4.70161039352417
4,4,0.6855135536321397,"[[17.26357495959899, -0.4213193123451916, 0.5583855238120513], [15.158499914967848, 0.21094868325170113, 0.41322569403939846], [2.352188469759477, -0.0905497402721025, 0.10960435973660376], [19.950249390366043, 0.058319240336383804, 0.4030027932971392], [3.3133678771831248, 0.16699776382318932, 0.9348378584329871], [8.512957950930259, -0.2532070343740128, 0.25231035161496307], [11.613847061411624, 0.19723277048500898, 0.3314282672043626], [18.536334689209024, -0.09353831190731521, 0.3037358774369817], [1.3741679568053404, -0.4696797487511679, 0.4691696608270207], [5.747858112315226, -0.45684385567813335, 0.19011750670578054]]",5.877012991905213
5,5,0.6855135536321397,"[[17.26357495959899, -0.4213193123451916, 0.5583855238120513], [15.158499914967848, 0.21094868325170113, 0.41322569403939846], [2.352188469759477, -0.0905497402721025, 0.10960435973660376], [19.950249390366043, 0.058319240336383804, 0.4030027932971392], [3.3133678771831248, 0.16699776382318932, 0.9348378584329871], [8.512957950930259, -0.2532070343740128, 0.25231035161496307], [11.613847061411624, 0.19723277048500898, 0.3314282672043626], [18.536334689209024, -0.09353831190731521, 0.3037358774369817], [1.3741679568053404, -0.4696797487511679, 0.4691696608270207], [5.747858112315226, -0.45684385567813335, 0.19011750670578054]]",7.052415590286255
6,6,0.6855135536321397,"[[17.26357495959899, -0.4213193123451916, 0.5583855238120513], [15.158499914967848, 0.21094868325170113, 0.41322569403939846], [2.352188469759477, -0.0905497402721025, 0.10960435973660376], [19.950249390366043, 0.058319240336383804, 0.4030027932971392], [3.3133678771831248, 0.16699776382318932, 0.9348378584329871], [8.512957950930259, -0.2532070343740128, 0.25231035161496307], [11.613847061411624, 0.19723277048500898, 0.3314282672043626], [18.536334689209024, -0.09353831190731521, 0.3037358774369817], [1.3741679568053404, -0.4696797487511679, 0.4691696608270207], [5.747858112315226, -0.45684385567813335, 0.19011750670578054]]",8.227818188667298
7,7,0.6918593012758542,"[[19.956596342355702, -0.4113579653733874, 0.2893672706610563], [16.87672394392211, 0.3851416416406126, 0.48710066731160695], [9.475699873299801, 0.22068345864250016, 0.06331855579158274], [16.930793715267153, -0.3823525872503927, 0.3689969345764035], [16.428438042695348, -0.08578285436526356, 0.535378475622337], [18.190118506764662, 0.33971445659024735, 0.20490965710581488], [12.51273635965839, -0.3236693334355488, 0.32662854217081616], [14.627451157356052, 0.17804958875805088, 0.059274515332049305], [15.342786047990877, -0.4628226400790414, 0.8826145775442479], [1.1593264251908437, -0.3834092413328749, 0.17103290940803528]]",9.40322078704834
8,8,0.6918593012758542,"[[19.956596342355702, -0.4113579653733874, 0.2893672706610563], [16.87672394392211, 0.3851416416406126, 0.48710066731160695], [9.475699873299801, 0.22068345864250016, 0.06331855579158274], [16.930793715267153, -0.3823525872503927, 0.3689969345764035], [16.428438042695348, -0.08578285436526356, 0.535378475622337], [18.190118506764662, 0.33971445659024735, 0.20490965710581488], [12.51273635965839, -0.3236693334355488, 0.32662854217081616], [14.627451157356052, 0.17804958875805088, 0.059274515332049305], [15.342786047990877, -0.4628226400790414, 0.8826145775442479], [1.1593264251908437, -0.3834092413328749, 0.17103290940803528]]",10.578623385429383
9,9,0.7349392179892807,"[[19.932980789540732, 0.38567140096983565, 0.0034644757016524252], [9.717941583677435, 0.10865331076427076, 0.6126237386120464], [13.491762879817642, 0.2080788782455818, 0.2632514280517021], [8.86523134195407, -0.35565070647185837, 0.2625954796768927], [5.816631406532226, -0.3017183905496966, 0.5967136842051751], [8.520711949269403, -0.19300594078648392, 0.9135047944049554], [1.4153352447917475, -0.061036156167181166, 0.7292304041783779], [11.246085659117046, -0.25239571064221655, 0.9391435106861071], [10.92780906700612, 0.06253997008194223, 0.38859062754090123], [16.67589852611615, 0.12443520915276407, 0.20475312529966916]]",11.754025983810426
