,Generations,CCEA Fitness Values,Best_Sol,time
0,0,2.318826774610949,"[[4.785594888347106, 0, -0.08903657590878084], [2.0945158286021903, 0.6447957513345959, -0.15601139919470894], [10.601672347881948, 0.7993588934916489, 0.0704735241724957], [3.244157123441551, 0.48430827546365746, -0.2850435404461736], [9.027444018508593, 0.5571509720096159, 0.19696570041383715], [2.196061443838637, 0.8321905145848894, -0.3615280319082742], [5.3038763310791825, 0.33466267746568606, 0.3135131583884385], [5.340903027024049, 0.5740865126096005, 0.2516255779149956], [20, 0, 0.3963772563044524], [0, 1, 0.024464912778592696]]",1.4148594331741333
1,1,2.3332426707605545,"[[16.251598606635856, 0.3508931690208249, 0.18569975701288238], [2.0945158286021903, 0.6447957513345959, -0.15601139919470894], [17.447531093631163, 0.14791071780536602, -0.34397943927664776], [3.936910837382967, 1, 0.02103780048710724], [12.131247666887369, 0.23461305484147876, -0.034159696779229407], [12.924567352930016, 0.43027241683714645, 0.17865127062959935], [0, 0.830610438875898, -0.27598881680242665], [13.45844300712421, 0.07730353680889424, 0.4471631103550565], [19.493602219132697, 0.38750109742313865, 0.5], [3.467977067632337, 1, 0.19157045517741125]]",2.8297188663482666
2,2,2.433301519822132,"[[8.686649551382034, 0.7186214187760696, 0.33593883046098183], [0, 0.6382884678966478, 0.5], [11.28448394697402, 0.13398462625010843, 0.31791505549439336], [0, 0.5699037866670136, -0.5], [2.991040641350231, 1, 0.021501444873518988], [6.0006522967342715, 0.14496553206654222, -0.23151018605585535], [11.33648294511118, 0.7288454707534445, -0.1864863065210166], [17.943262345239937, 0, -0.41406752511138856], [9.541965008780192, 0.2904803600097175, 0.28251856248795776], [20, 0.19708094877666485, 0.10966071041027352]]",4.2445782995223995
3,3,2.433301519822132,"[[8.686649551382034, 0.7186214187760696, 0.33593883046098183], [0, 0.6382884678966478, 0.5], [11.28448394697402, 0.13398462625010843, 0.31791505549439336], [0, 0.5699037866670136, -0.5], [2.991040641350231, 1, 0.021501444873518988], [6.0006522967342715, 0.14496553206654222, -0.23151018605585535], [11.33648294511118, 0.7288454707534445, -0.1864863065210166], [17.943262345239937, 0, -0.41406752511138856], [9.541965008780192, 0.2904803600097175, 0.28251856248795776], [20, 0.19708094877666485, 0.10966071041027352]]",5.659437732696533
4,4,2.435607501635369,"[[4.2406028082067255, 0.04063283482932892, -0.5], [16.545590318765804, 1, -0.5], [17.447531093631163, 0.14791071780536602, -0.34397943927664776], [14.20773874583593, 1, 0.13064649905908982], [2.991040641350231, 1, 0.021501444873518988], [6.7471960780598454, 0.8321905145848894, -0.22278095930648567], [18.861927403343486, 0.3782850757271703, 0.29404572012276664], [0.818945303415747, 0.40499008466090225, -0.19366331722522628], [2.7593060121128277, 0.2016820676912, 0.08168321928700406], [14.04279864478262, 0, -0.17299234357923843]]",7.074297165870666
5,5,2.4579762399437897,"[[0, 0.5846292196748829, -0.3366666066177836], [6.282225076051576, 0.9116229464146041, 0.006511417387583263], [17.34765143191143, 0, -0.3630618218126008], [2.8121731897900935, 0.6035769736736583, -0.27449458105989594], [0, 0.7125155961311213, -0.005758872153900349], [0.44874110163004133, 0.5270933526647776, 0.5], [18.861927403343486, 0.3188417194404316, 0.46732568935227203], [2.0861667835668136, 0.546780026043624, 0.5], [5.6225722018344175, 0.28357048355214826, 0.17068262454993616], [1.8207758382848982, 0.8158683876048944, -0.3057523308327118]]",8.489156599044799
6,6,2.4589732395650095,"[[0, 0.4645319861908975, 0.04156728290402498], [0, 0.9924307311213396, 0.0038113722129056934], [11.28448394697402, 0.13398462625010843, 0.31791505549439336], [10.789262134207691, 0.9446928920117508, -0.07798032660980292], [12.131247666887369, 0.23461305484147876, -0.034159696779229407], [16.245805019231945, 0.3063996412494973, -0.07051872347194232], [18.861927403343486, 0.3782850757271703, 0.46732568935227203], [2.0861667835668136, 0.546780026043624, 0.5], [0.34364662356541675, 0.13125981511208096, -0.5], [16.00115901937945, 0.2561987483316598, -0.27522692886200295]]",9.904016032218934
7,7,2.5540115809994997,"[[0, 0.4645319861908975, -0.02947675548996262], [4.785892919968083, 0.7311166768331288, 0.5], [4.082783028975789, 0.6581072057929047, 0.04860768717813141], [2.8121731897900935, 0.6035769736736583, -0.27449458105989594], [2.991040641350231, 1, 0.021501444873518988], [6.705467240815739, 0.32974197289362495, 0.5], [20, 0.42147740021030095, 0.5], [2.0861667835668136, 0.546780026043624, 0.5], [5.6225722018344175, 0.4241884078479069, -0.06428330935458537], [18.459864667126983, 0.7614523576002815, 0.23804297912870773]]",11.318875465393067
8,8,2.5540115809994997,"[[0, 0.4645319861908975, -0.02947675548996262], [4.785892919968083, 0.7311166768331288, 0.5], [4.082783028975789, 0.6581072057929047, 0.04860768717813141], [2.8121731897900935, 0.6035769736736583, -0.27449458105989594], [2.991040641350231, 1, 0.021501444873518988], [6.705467240815739, 0.32974197289362495, 0.5], [20, 0.42147740021030095, 0.5], [2.0861667835668136, 0.546780026043624, 0.5], [5.6225722018344175, 0.4241884078479069, -0.06428330935458537], [18.459864667126983, 0.7614523576002815, 0.23804297912870773]]",12.7337348985672
9,9,3.1805785768524033,"[[4.314652148613986, 0.5711887493041914, -0.21014953922799318], [10.101927326648036, 0.615892579871017, 0.49084311118312735], [11.248723479153169, 0.4512549372230776, -0.3529402073474615], [3.936910837382967, 1, 0.02103780048710724], [7.907531191632967, 0.9566689219259765, -0.0700189919200588], [12.690902642025524, 0.7126195109842374, -0.07091695680421095], [18.861927403343486, 0.3782850757271703, 0.29404572012276664], [10.632199412069458, 0.5740865126096005, 0.2516255779149956], [20, 0.4267666996334563, 0.5], [5.1151185886059904, 0, -0.2413647912893433]]",14.148594331741332
