,Generations,EA Fitness Values,EA Health States,time
0,0,0.32732199372018833,"[[10.606353115796448, 0.32095938996778184, 0.5], [7.955539231075821, 0.4712499150362711, -0.0123679552749488], [20, 0.85987633550081, -0.28469083792843436], [0.930028569811781, 1, -0.2869375180863195], [7.729190569278993, 1, -0.06084452449394233], [20, 0.6814484119933881, 0.15100165246506228], [9.491105621463232, 0.9635518258430485, -0.5], [9.491105621463232, 0.8560550467104504, 0.41026468125898863], [9.354404772824976, 0.5661296401538738, -0.07780864606552401], [0, 0.17160280466609462, -0.5]]",1.101269130706787
1,1,0.3437726907705184,"[[12.080371081443278, 0.9665659819315409, -0.004543610571800916], [1.9028635239760678, 0.7528377947903194, -0.2728219751927339], [9.351882055628455, 0.5639435424225497, 0.5], [0.9213827294713202, 0.9212591092578893, 0.40652686513213604], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0, 0.48570270190519554, 0.052028110210315864], [7.208443787273993, 0.48570270190519554, -0.15840948952452938], [7.208443787273993, 0.48570270190519554, -0.15840948952452938]]",2.202538261413574
2,2,0.3437726907705184,"[[12.080371081443278, 0.9665659819315409, -0.004543610571800916], [1.9028635239760678, 0.7528377947903194, -0.2728219751927339], [9.351882055628455, 0.5639435424225497, 0.5], [0.9213827294713202, 0.9212591092578893, 0.40652686513213604], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0, 0.48570270190519554, 0.052028110210315864], [7.208443787273993, 0.48570270190519554, -0.15840948952452938], [7.208443787273993, 0.48570270190519554, -0.15840948952452938]]",3.3038073921203615
3,3,0.3437726907705184,"[[12.080371081443278, 0.9665659819315409, -0.004543610571800916], [1.9028635239760678, 0.7528377947903194, -0.2728219751927339], [9.351882055628455, 0.5639435424225497, 0.5], [0.9213827294713202, 0.9212591092578893, 0.40652686513213604], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0, 0.48570270190519554, 0.052028110210315864], [7.208443787273993, 0.48570270190519554, -0.15840948952452938], [7.208443787273993, 0.48570270190519554, -0.15840948952452938]]",4.405076522827148
4,4,0.3437726907705184,"[[12.080371081443278, 0.9665659819315409, -0.004543610571800916], [1.9028635239760678, 0.7528377947903194, -0.2728219751927339], [9.351882055628455, 0.5639435424225497, 0.5], [0.9213827294713202, 0.9212591092578893, 0.40652686513213604], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0, 0.48570270190519554, 0.052028110210315864], [7.208443787273993, 0.48570270190519554, -0.15840948952452938], [7.208443787273993, 0.48570270190519554, -0.15840948952452938]]",5.506345653533936
5,5,0.3437726907705184,"[[12.080371081443278, 0.9665659819315409, -0.004543610571800916], [1.9028635239760678, 0.7528377947903194, -0.2728219751927339], [9.351882055628455, 0.5639435424225497, 0.5], [0.9213827294713202, 0.9212591092578893, 0.40652686513213604], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0, 0.48570270190519554, 0.052028110210315864], [7.208443787273993, 0.48570270190519554, -0.15840948952452938], [7.208443787273993, 0.48570270190519554, -0.15840948952452938]]",6.607614784240723
6,6,0.3437726907705184,"[[12.080371081443278, 0.9665659819315409, -0.004543610571800916], [1.9028635239760678, 0.7528377947903194, -0.2728219751927339], [9.351882055628455, 0.5639435424225497, 0.5], [0.9213827294713202, 0.9212591092578893, 0.40652686513213604], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0, 0.48570270190519554, 0.052028110210315864], [7.208443787273993, 0.48570270190519554, -0.15840948952452938], [7.208443787273993, 0.48570270190519554, -0.15840948952452938]]",7.70888391494751
7,7,0.3437726907705184,"[[12.080371081443278, 0.9665659819315409, -0.004543610571800916], [1.9028635239760678, 0.7528377947903194, -0.2728219751927339], [9.351882055628455, 0.5639435424225497, 0.5], [0.9213827294713202, 0.9212591092578893, 0.40652686513213604], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0, 0.48570270190519554, 0.052028110210315864], [7.208443787273993, 0.48570270190519554, -0.15840948952452938], [7.208443787273993, 0.48570270190519554, -0.15840948952452938]]",8.810153045654296
8,8,0.3437726907705184,"[[12.080371081443278, 0.9665659819315409, -0.004543610571800916], [1.9028635239760678, 0.7528377947903194, -0.2728219751927339], [9.351882055628455, 0.5639435424225497, 0.5], [0.9213827294713202, 0.9212591092578893, 0.40652686513213604], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0, 0.48570270190519554, 0.052028110210315864], [7.208443787273993, 0.48570270190519554, -0.15840948952452938], [7.208443787273993, 0.48570270190519554, -0.15840948952452938]]",9.911422176361084
9,9,0.3437726907705184,"[[12.080371081443278, 0.9665659819315409, -0.004543610571800916], [1.9028635239760678, 0.7528377947903194, -0.2728219751927339], [9.351882055628455, 0.5639435424225497, 0.5], [0.9213827294713202, 0.9212591092578893, 0.40652686513213604], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0.9213827294713202, 0.3545767305889648, -0.3437181224867553], [0, 0.48570270190519554, 0.052028110210315864], [7.208443787273993, 0.48570270190519554, -0.15840948952452938], [7.208443787273993, 0.48570270190519554, -0.15840948952452938]]",11.012691307067872
