,Generations,Random Fitness Values,Random Health States,time
0,0,0.3068668318070884,"[[2.3075784527463594, 0.9762953003428505, 0.22358586873927155], [11.358669524922089, 0.346759827917249, 0.41613947778456783], [12.071328276292547, 0.4015575928264379, 0.3167729702152162], [0.3993384542159806, 0.19561774197229864, 0.15124970869687526], [17.21423619716178, 0.32812243571514665, -0.04593147855474622], [14.518407573098722, 0.8499058347270269, 0.43773524277140974], [4.40243784145032, 0.7357651871464447, -0.4455893295501895], [6.042045699905428, 0.15358960061813198, -0.39524575871123835], [15.015694950525214, 0.8581350267023033, -0.46527148630116544], [16.25047918484633, 0.31330905407109655, -0.4009710665386609]]",1.3725546884536743
1,1,0.3157467644183144,"[[7.91950510595038, 0.4300113467440505, 0.002597827468323932], [3.3619211206006017, 0.9549576822633833, 0.49987664237332585], [4.553485073999797, 0.5277909578690976, -0.05667928756947804], [8.464647378372439, 0.4639925931012755, 0.3645202846641624], [3.867088299387249, 0.672700835092577, -0.1362560219326655], [12.523803759406533, 0.333457937284791, -0.44323221839553517], [0.28792424620808665, 0.6927887353805963, 0.16567301973195858], [1.4536884206654999, 0.38730053306998435, -0.3512654281612986], [0.31210984770319694, 0.8101723757520601, -0.49352386808066473], [4.810283821105548, 0.7077118227876072, 0.254957956806673]]",2.7451093769073487
2,2,0.3201029928325742,"[[2.0182431672939005, 0.031884471277817905, -0.4956173355748622], [4.5739620443821805, 0.9313888341685884, -0.46351881658412886], [3.0266753586584416, 0.2610783609082894, -0.16486603287325574], [5.983121489921803, 0.3037773652319361, 0.09897924101125444], [0.4429821030601788, 0.9790799896983218, 0.01929945414638079], [10.233040615963748, 0.8308894618961595, 0.24279146784627137], [13.390241746599557, 0.5811320582115798, -0.2873292429447787], [18.700558963623394, 0.22786228718030532, 0.29918910506532503], [4.438629419382227, 0.6005020676493552, 0.006062320257800291], [0.8338205826357425, 0.4144687742818801, 0.25679179200891766]]",4.117664065361023
3,3,0.3201029928325742,"[[2.0182431672939005, 0.031884471277817905, -0.4956173355748622], [4.5739620443821805, 0.9313888341685884, -0.46351881658412886], [3.0266753586584416, 0.2610783609082894, -0.16486603287325574], [5.983121489921803, 0.3037773652319361, 0.09897924101125444], [0.4429821030601788, 0.9790799896983218, 0.01929945414638079], [10.233040615963748, 0.8308894618961595, 0.24279146784627137], [13.390241746599557, 0.5811320582115798, -0.2873292429447787], [18.700558963623394, 0.22786228718030532, 0.29918910506532503], [4.438629419382227, 0.6005020676493552, 0.006062320257800291], [0.8338205826357425, 0.4144687742818801, 0.25679179200891766]]",5.490218753814697
4,4,0.34297223650116887,"[[0.6999749231444108, 0.8141863067190502, 0.41538779401272485], [8.813131133160002, 0.2494814309779857, -0.33229894854575315], [5.173713858427953, 0.30612753173963203, 0.14270391480441613], [16.436896986976233, 0.9895601476555428, -0.49114433944646496], [19.458649970657426, 0.339466131905925, -0.3023363751916851], [1.986801562340732, 0.5705467881776846, -0.3655934405283181], [2.4662002160356056, 0.929646399958342, 0.09687790511930028], [8.554692861585806, 0.5911921359210102, -0.24793521406551955], [9.55011449793113, 0.8614770421680833, -0.3085407362380006], [0.2522996617741913, 0.9811790986435381, -0.1422733082063269]]",6.862773442268372
5,5,0.34297223650116887,"[[0.6999749231444108, 0.8141863067190502, 0.41538779401272485], [8.813131133160002, 0.2494814309779857, -0.33229894854575315], [5.173713858427953, 0.30612753173963203, 0.14270391480441613], [16.436896986976233, 0.9895601476555428, -0.49114433944646496], [19.458649970657426, 0.339466131905925, -0.3023363751916851], [1.986801562340732, 0.5705467881776846, -0.3655934405283181], [2.4662002160356056, 0.929646399958342, 0.09687790511930028], [8.554692861585806, 0.5911921359210102, -0.24793521406551955], [9.55011449793113, 0.8614770421680833, -0.3085407362380006], [0.2522996617741913, 0.9811790986435381, -0.1422733082063269]]",8.235328130722046
6,6,0.34297223650116887,"[[0.6999749231444108, 0.8141863067190502, 0.41538779401272485], [8.813131133160002, 0.2494814309779857, -0.33229894854575315], [5.173713858427953, 0.30612753173963203, 0.14270391480441613], [16.436896986976233, 0.9895601476555428, -0.49114433944646496], [19.458649970657426, 0.339466131905925, -0.3023363751916851], [1.986801562340732, 0.5705467881776846, -0.3655934405283181], [2.4662002160356056, 0.929646399958342, 0.09687790511930028], [8.554692861585806, 0.5911921359210102, -0.24793521406551955], [9.55011449793113, 0.8614770421680833, -0.3085407362380006], [0.2522996617741913, 0.9811790986435381, -0.1422733082063269]]",9.607882819175721
7,7,0.34297223650116887,"[[0.6999749231444108, 0.8141863067190502, 0.41538779401272485], [8.813131133160002, 0.2494814309779857, -0.33229894854575315], [5.173713858427953, 0.30612753173963203, 0.14270391480441613], [16.436896986976233, 0.9895601476555428, -0.49114433944646496], [19.458649970657426, 0.339466131905925, -0.3023363751916851], [1.986801562340732, 0.5705467881776846, -0.3655934405283181], [2.4662002160356056, 0.929646399958342, 0.09687790511930028], [8.554692861585806, 0.5911921359210102, -0.24793521406551955], [9.55011449793113, 0.8614770421680833, -0.3085407362380006], [0.2522996617741913, 0.9811790986435381, -0.1422733082063269]]",10.980437507629395
8,8,0.34297223650116887,"[[0.6999749231444108, 0.8141863067190502, 0.41538779401272485], [8.813131133160002, 0.2494814309779857, -0.33229894854575315], [5.173713858427953, 0.30612753173963203, 0.14270391480441613], [16.436896986976233, 0.9895601476555428, -0.49114433944646496], [19.458649970657426, 0.339466131905925, -0.3023363751916851], [1.986801562340732, 0.5705467881776846, -0.3655934405283181], [2.4662002160356056, 0.929646399958342, 0.09687790511930028], [8.554692861585806, 0.5911921359210102, -0.24793521406551955], [9.55011449793113, 0.8614770421680833, -0.3085407362380006], [0.2522996617741913, 0.9811790986435381, -0.1422733082063269]]",12.352992196083068
9,9,0.34297223650116887,"[[0.6999749231444108, 0.8141863067190502, 0.41538779401272485], [8.813131133160002, 0.2494814309779857, -0.33229894854575315], [5.173713858427953, 0.30612753173963203, 0.14270391480441613], [16.436896986976233, 0.9895601476555428, -0.49114433944646496], [19.458649970657426, 0.339466131905925, -0.3023363751916851], [1.986801562340732, 0.5705467881776846, -0.3655934405283181], [2.4662002160356056, 0.929646399958342, 0.09687790511930028], [8.554692861585806, 0.5911921359210102, -0.24793521406551955], [9.55011449793113, 0.8614770421680833, -0.3085407362380006], [0.2522996617741913, 0.9811790986435381, -0.1422733082063269]]",13.725546884536744
