,Generations,CCEA Fitness Values,Best_Sol,time
0,0,0.51354363320552,"[[1.9169746580990146, 1, -0.5], [19.055030465653743, 0.9254591282628918, -0.12033176187269523], [5.354122736107671, 1, -0.4222069585274801], [4.367853759748858, 0.5435490044625155, 0.43318263792876643], [2.040143768417085, 0.7333739383177463, -0.40522772433771803], [6.275396674687137, 0.3996754704583362, -0.15918524897796954], [5.5131758756012745, 0.5488020635200687, -0.5], [11.837190550650977, 0.5520417446437743, -0.22690580422420792], [3.4032327881276583, 0.9262025711313868, -0.21054872062884145], [13.429551442311054, 0.4494113387338631, 0.049071402192534974]]",1.0501829075813294
1,1,0.5440394895527256,"[[0.5924239483843792, 0.5031692601417164, -0.008748269650685148], [19.055030465653743, 0.9254591282628918, -0.12033176187269523], [0, 0.4722119637437151, -0.026006044844914283], [2.6958145667055056, 1, 0.197847136700528], [7.637114497990131, 0.20437344436110272, -0.28690765786034056], [1.009954196725773, 0.8996016168103304, -0.5], [0, 0.5454010862700482, -0.5], [12.839415770783486, 0.4600599232480428, -0.2313446288387357], [7.483016334201014, 0.6776044841189683, 0.5], [19.81755479809104, 0.37430638910296243, -0.08901103172155911]]",2.1003658151626587
2,2,0.5647819516866829,"[[0, 1, 0.5], [5.102082998127855, 0.12084414103751706, -0.5], [8.46508846414105, 0.0529078163537362, -0.26238106901051905], [8.624014049134834, 0.9810793503142671, -0.5], [5.004658870786296, 0.5737275744241355, 0.30389450991616307], [1.009954196725773, 0.8996016168103304, -0.5], [7.177021442279349, 0.678323196290607, -0.5], [3.8370449367973474, 0.694433638261368, -0.1963278043652832], [12.262517452554366, 0.14181088446425427, 0.45769193624995286], [0, 0.6648456408957283, -0.4717438777236899]]",3.150548722743988
3,3,0.5815175023710731,"[[1.9169746580990146, 1, -0.5], [8.752561870315812, 0.3520978476454786, -0.23517520592793115], [19.44007684094794, 0.04223167610304068, 0.4428371195074723], [0, 0.9668032328585077, -0.2516691589934268], [15.821417646352726, 0.29192995943411504, -0.30160878629760035], [1.5089909585212595, 0.738964837719742, -0.28265459174374497], [0, 0.2942155838029404, -0.3378611726254252], [12.839415770783486, 0.4600599232480428, -0.2313446288387357], [7.659835301397898, 0.6210702075525061, -0.32731895067492817], [15.384429878312558, 0.8479326142864376, -0.5]]",4.2007316303253175
4,4,0.5815175023710731,"[[1.9169746580990146, 1, -0.5], [8.752561870315812, 0.3520978476454786, -0.23517520592793115], [19.44007684094794, 0.04223167610304068, 0.4428371195074723], [0, 0.9668032328585077, -0.2516691589934268], [15.821417646352726, 0.29192995943411504, -0.30160878629760035], [1.5089909585212595, 0.738964837719742, -0.28265459174374497], [0, 0.2942155838029404, -0.3378611726254252], [12.839415770783486, 0.4600599232480428, -0.2313446288387357], [7.659835301397898, 0.6210702075525061, -0.32731895067492817], [15.384429878312558, 0.8479326142864376, -0.5]]",5.250914537906647
5,5,0.6033063979966732,"[[3.0936001581392034, 0.982160277692039, -0.5], [19.055030465653743, 0.9254591282628918, -0.49109925497489554], [0, 1, -0.15160047902918067], [0, 0, 0.14884945663224036], [2.278430780953233, 0.8497069874794215, -0.42294004128514806], [0, 1, -0.11536591978464565], [0, 0.929885311248587, -0.5], [0, 0.8253898194415366, -0.5], [0, 0.933824961955744, -0.4906561397279232], [5.075319142721605, 1, -0.48928724902555776]]",6.301097445487976
6,6,0.6142688776864448,"[[1.9169746580990146, 1, -0.5], [6.648081376963238, 0.772410106038676, -0.5], [1.7621327656317143, 1, -0.4246963934671977], [1.0334251951462403, 0.20689833863301885, -0.5], [5.254597958240031, 1, -0.39740008047116754], [0, 1, -0.11536591978464565], [3.0524373811160266, 0.7737918927804942, -0.5], [4.038409429764766, 0.1020325950087818, -0.5], [0, 0.933824961955744, -0.4906561397279232], [0, 0.8598902882025796, -0.2942254768412126]]",7.351280353069305
7,7,0.6142688776864448,"[[1.9169746580990146, 1, -0.5], [6.648081376963238, 0.772410106038676, -0.5], [1.7621327656317143, 1, -0.4246963934671977], [1.0334251951462403, 0.20689833863301885, -0.5], [5.254597958240031, 1, -0.39740008047116754], [0, 1, -0.11536591978464565], [3.0524373811160266, 0.7737918927804942, -0.5], [4.038409429764766, 0.1020325950087818, -0.5], [0, 0.933824961955744, -0.4906561397279232], [0, 0.8598902882025796, -0.2942254768412126]]",8.401463260650635
8,8,0.6271951097183837,"[[1.5213914656980974, 0.19501031121264367, 0.25196546330065767], [0, 1, 0.15920700135468724], [0, 1, -0.5], [7.828718637128558, 1, -0.21000327750227396], [5.254597958240031, 1, -0.39740008047116754], [3.6421343100595385, 1, -0.5], [0, 0.28745839317992183, -0.5], [4.038409429764766, 0.4587712135199252, -0.5], [0, 0.9941229763916895, -0.376505938045873], [15.384429878312558, 0.8479326142864376, -0.5]]",9.451646168231964
9,9,0.6289766517381047,"[[0, 0.4086299285853663, -0.2667199127450137], [0, 1, -0.5], [0, 1, -0.5], [2.982856543339814, 1, -0.5], [0.4407524373645595, 0.8065542227333876, 0.5], [2.5345945021513208, 1, -0.5], [0, 0.28745839317992183, -0.5], [4.038409429764766, 0.4587712135199252, -0.5], [4.048460401522307, 0.9343154474372113, -0.4121919405009612], [5.075319142721605, 1, -0.48928724902555776]]",10.501829075813294
