,Generations,Random Fitness Values,Random Health States,time
0,0,7.477849709818201,"[[12.945397110910843, 0.5316157888599403, 0.18947849061781463], [18.554836506679266, 0.28146617300807475, -0.10670534745450044], [14.902370741338618, 0.6381512479235736, 0.3085108594346947], [7.926032682458062, 0.4453002519680179, -0.23232257281990543], [15.267862951619055, 0.9859540099336702, 0.2892460616286405], [7.915347224669982, 0.821447181634867, 0.4383317026728235], [10.215837570859387, 0.897880270178203, -0.08215402418867623], [18.90103433412855, 0.6667632707368775, -0.4567536494747151], [12.637395629006711, 0.986732302695245, 0.08018491364631664], [14.846295450421845, 0.03234557795190207, 0.28702791293127794]]",4.0858069896698
1,1,7.477849709818201,"[[12.945397110910843, 0.5316157888599403, 0.18947849061781463], [18.554836506679266, 0.28146617300807475, -0.10670534745450044], [14.902370741338618, 0.6381512479235736, 0.3085108594346947], [7.926032682458062, 0.4453002519680179, -0.23232257281990543], [15.267862951619055, 0.9859540099336702, 0.2892460616286405], [7.915347224669982, 0.821447181634867, 0.4383317026728235], [10.215837570859387, 0.897880270178203, -0.08215402418867623], [18.90103433412855, 0.6667632707368775, -0.4567536494747151], [12.637395629006711, 0.986732302695245, 0.08018491364631664], [14.846295450421845, 0.03234557795190207, 0.28702791293127794]]",8.1716139793396
2,2,7.477849709818201,"[[12.945397110910843, 0.5316157888599403, 0.18947849061781463], [18.554836506679266, 0.28146617300807475, -0.10670534745450044], [14.902370741338618, 0.6381512479235736, 0.3085108594346947], [7.926032682458062, 0.4453002519680179, -0.23232257281990543], [15.267862951619055, 0.9859540099336702, 0.2892460616286405], [7.915347224669982, 0.821447181634867, 0.4383317026728235], [10.215837570859387, 0.897880270178203, -0.08215402418867623], [18.90103433412855, 0.6667632707368775, -0.4567536494747151], [12.637395629006711, 0.986732302695245, 0.08018491364631664], [14.846295450421845, 0.03234557795190207, 0.28702791293127794]]",12.257420969009399
3,3,7.477849709818201,"[[12.945397110910843, 0.5316157888599403, 0.18947849061781463], [18.554836506679266, 0.28146617300807475, -0.10670534745450044], [14.902370741338618, 0.6381512479235736, 0.3085108594346947], [7.926032682458062, 0.4453002519680179, -0.23232257281990543], [15.267862951619055, 0.9859540099336702, 0.2892460616286405], [7.915347224669982, 0.821447181634867, 0.4383317026728235], [10.215837570859387, 0.897880270178203, -0.08215402418867623], [18.90103433412855, 0.6667632707368775, -0.4567536494747151], [12.637395629006711, 0.986732302695245, 0.08018491364631664], [14.846295450421845, 0.03234557795190207, 0.28702791293127794]]",16.3432279586792
4,4,7.477849709818201,"[[12.945397110910843, 0.5316157888599403, 0.18947849061781463], [18.554836506679266, 0.28146617300807475, -0.10670534745450044], [14.902370741338618, 0.6381512479235736, 0.3085108594346947], [7.926032682458062, 0.4453002519680179, -0.23232257281990543], [15.267862951619055, 0.9859540099336702, 0.2892460616286405], [7.915347224669982, 0.821447181634867, 0.4383317026728235], [10.215837570859387, 0.897880270178203, -0.08215402418867623], [18.90103433412855, 0.6667632707368775, -0.4567536494747151], [12.637395629006711, 0.986732302695245, 0.08018491364631664], [14.846295450421845, 0.03234557795190207, 0.28702791293127794]]",20.429034948349
5,5,7.477849709818201,"[[12.945397110910843, 0.5316157888599403, 0.18947849061781463], [18.554836506679266, 0.28146617300807475, -0.10670534745450044], [14.902370741338618, 0.6381512479235736, 0.3085108594346947], [7.926032682458062, 0.4453002519680179, -0.23232257281990543], [15.267862951619055, 0.9859540099336702, 0.2892460616286405], [7.915347224669982, 0.821447181634867, 0.4383317026728235], [10.215837570859387, 0.897880270178203, -0.08215402418867623], [18.90103433412855, 0.6667632707368775, -0.4567536494747151], [12.637395629006711, 0.986732302695245, 0.08018491364631664], [14.846295450421845, 0.03234557795190207, 0.28702791293127794]]",24.514841938018797
6,6,7.477849709818201,"[[12.945397110910843, 0.5316157888599403, 0.18947849061781463], [18.554836506679266, 0.28146617300807475, -0.10670534745450044], [14.902370741338618, 0.6381512479235736, 0.3085108594346947], [7.926032682458062, 0.4453002519680179, -0.23232257281990543], [15.267862951619055, 0.9859540099336702, 0.2892460616286405], [7.915347224669982, 0.821447181634867, 0.4383317026728235], [10.215837570859387, 0.897880270178203, -0.08215402418867623], [18.90103433412855, 0.6667632707368775, -0.4567536494747151], [12.637395629006711, 0.986732302695245, 0.08018491364631664], [14.846295450421845, 0.03234557795190207, 0.28702791293127794]]",28.6006489276886
7,7,7.477849709818201,"[[12.945397110910843, 0.5316157888599403, 0.18947849061781463], [18.554836506679266, 0.28146617300807475, -0.10670534745450044], [14.902370741338618, 0.6381512479235736, 0.3085108594346947], [7.926032682458062, 0.4453002519680179, -0.23232257281990543], [15.267862951619055, 0.9859540099336702, 0.2892460616286405], [7.915347224669982, 0.821447181634867, 0.4383317026728235], [10.215837570859387, 0.897880270178203, -0.08215402418867623], [18.90103433412855, 0.6667632707368775, -0.4567536494747151], [12.637395629006711, 0.986732302695245, 0.08018491364631664], [14.846295450421845, 0.03234557795190207, 0.28702791293127794]]",32.6864559173584
8,8,7.477849709818201,"[[12.945397110910843, 0.5316157888599403, 0.18947849061781463], [18.554836506679266, 0.28146617300807475, -0.10670534745450044], [14.902370741338618, 0.6381512479235736, 0.3085108594346947], [7.926032682458062, 0.4453002519680179, -0.23232257281990543], [15.267862951619055, 0.9859540099336702, 0.2892460616286405], [7.915347224669982, 0.821447181634867, 0.4383317026728235], [10.215837570859387, 0.897880270178203, -0.08215402418867623], [18.90103433412855, 0.6667632707368775, -0.4567536494747151], [12.637395629006711, 0.986732302695245, 0.08018491364631664], [14.846295450421845, 0.03234557795190207, 0.28702791293127794]]",36.7722629070282
9,9,7.477849709818201,"[[12.945397110910843, 0.5316157888599403, 0.18947849061781463], [18.554836506679266, 0.28146617300807475, -0.10670534745450044], [14.902370741338618, 0.6381512479235736, 0.3085108594346947], [7.926032682458062, 0.4453002519680179, -0.23232257281990543], [15.267862951619055, 0.9859540099336702, 0.2892460616286405], [7.915347224669982, 0.821447181634867, 0.4383317026728235], [10.215837570859387, 0.897880270178203, -0.08215402418867623], [18.90103433412855, 0.6667632707368775, -0.4567536494747151], [12.637395629006711, 0.986732302695245, 0.08018491364631664], [14.846295450421845, 0.03234557795190207, 0.28702791293127794]]",40.858069896698
10,10,7.477849709818201,"[[12.945397110910843, 0.5316157888599403, 0.18947849061781463], [18.554836506679266, 0.28146617300807475, -0.10670534745450044], [14.902370741338618, 0.6381512479235736, 0.3085108594346947], [7.926032682458062, 0.4453002519680179, -0.23232257281990543], [15.267862951619055, 0.9859540099336702, 0.2892460616286405], [7.915347224669982, 0.821447181634867, 0.4383317026728235], [10.215837570859387, 0.897880270178203, -0.08215402418867623], [18.90103433412855, 0.6667632707368775, -0.4567536494747151], [12.637395629006711, 0.986732302695245, 0.08018491364631664], [14.846295450421845, 0.03234557795190207, 0.28702791293127794]]",44.943876886367796
11,11,7.477849709818201,"[[12.945397110910843, 0.5316157888599403, 0.18947849061781463], [18.554836506679266, 0.28146617300807475, -0.10670534745450044], [14.902370741338618, 0.6381512479235736, 0.3085108594346947], [7.926032682458062, 0.4453002519680179, -0.23232257281990543], [15.267862951619055, 0.9859540099336702, 0.2892460616286405], [7.915347224669982, 0.821447181634867, 0.4383317026728235], [10.215837570859387, 0.897880270178203, -0.08215402418867623], [18.90103433412855, 0.6667632707368775, -0.4567536494747151], [12.637395629006711, 0.986732302695245, 0.08018491364631664], [14.846295450421845, 0.03234557795190207, 0.28702791293127794]]",49.029683876037595
